kind	section_index	name	vaddr	file_offset	size	type	flags	emitted_data	writable	executable	nobits	text
string	5	.dynstr	0x30a6	0x30a6	0x6	3	0x2	yes	no	no	no	strlen
string	5	.dynstr	0x30ad	0x30ad	0x6	3	0x2	yes	no	no	no	getpid
string	5	.dynstr	0x30b4	0x30b4	0xc	3	0x2	yes	no	no	no	gettimeofday
string	5	.dynstr	0x30c1	0x30c1	0x6	3	0x2	yes	no	no	no	dladdr
string	5	.dynstr	0x30c8	0x30c8	0x7	3	0x2	yes	no	no	no	sysconf
string	5	.dynstr	0x30d0	0x30d0	0x8	3	0x2	yes	no	no	no	mprotect
string	5	.dynstr	0x30d9	0x30d9	0xe	3	0x2	yes	no	no	no	__tls_get_addr
string	5	.dynstr	0x30e8	0x30e8	0xc	3	0x2	yes	no	no	no	__once_proxy
string	5	.dynstr	0x30f5	0x30f5	0x8	3	0x2	yes	no	no	no	wmemmove
string	5	.dynstr	0x30fe	0x30fe	0xc	3	0x2	yes	no	no	no	pthread_once
string	5	.dynstr	0x310b	0x310b	0x8	3	0x2	yes	no	no	no	readlink
string	5	.dynstr	0x3114	0x3114	0x5	3	0x2	yes	no	no	no	fopen
string	5	.dynstr	0x311a	0x311a	0x5	3	0x2	yes	no	no	no	fread
string	5	.dynstr	0x3120	0x3120	0x6	3	0x2	yes	no	no	no	fclose
string	5	.dynstr	0x3127	0x3127	0x7	3	0x2	yes	no	no	no	opendir
string	5	.dynstr	0x312f	0x312f	0x7	3	0x2	yes	no	no	no	readdir
string	5	.dynstr	0x3137	0x3137	0x8	3	0x2	yes	no	no	no	closedir
string	5	.dynstr	0x3140	0x3140	0x6	3	0x2	yes	no	no	no	calloc
string	5	.dynstr	0x3147	0x3147	0x7	3	0x2	yes	no	no	no	realloc
string	5	.dynstr	0x314f	0x314f	0xb	3	0x2	yes	no	no	no	sem_destroy
string	5	.dynstr	0x315b	0x315b	0x8	3	0x2	yes	no	no	no	sem_wait
string	5	.dynstr	0x3164	0x3164	0x10	3	0x2	yes	no	no	no	__errno_location
string	5	.dynstr	0x3175	0x3175	0x8	3	0x2	yes	no	no	no	sem_post
string	5	.dynstr	0x317e	0x317e	0x8	3	0x2	yes	no	no	no	sem_init
string	5	.dynstr	0x3187	0x3187	0x5	3	0x2	yes	no	no	no	fseek
string	5	.dynstr	0x318d	0x318d	0x5	3	0x2	yes	no	no	no	ftell
string	5	.dynstr	0x3193	0x3193	0x6	3	0x2	yes	no	no	no	rewind
string	5	.dynstr	0x319a	0x319a	0x7	3	0x2	yes	no	no	no	wmemcmp
string	5	.dynstr	0x31a2	0x31a2	0x8	3	0x2	yes	no	no	no	realpath
string	5	.dynstr	0x31ab	0x31ab	0x7	3	0x2	yes	no	no	no	wmemset
string	5	.dynstr	0x31b3	0x31b3	0x12	3	0x2	yes	no	no	no	blake3_hasher_init
string	5	.dynstr	0x31c6	0x31c6	0x13	3	0x2	yes	no	no	no	blake3_hasher_reset
string	5	.dynstr	0x31da	0x31da	0x14	3	0x2	yes	no	no	no	blake3_hasher_update
string	5	.dynstr	0x31ef	0x31ef	0x16	3	0x2	yes	no	no	no	blake3_hasher_finalize
string	5	.dynstr	0x3206	0x3206	0x8	3	0x2	yes	no	no	no	difftime
string	5	.dynstr	0x320f	0x320f	0x4	3	0x2	yes	no	no	no	glob
string	5	.dynstr	0x3214	0x3214	0xe	3	0x2	yes	no	no	no	__xpg_basename
string	5	.dynstr	0x3223	0x3223	0x8	3	0x2	yes	no	no	no	globfree
string	5	.dynstr	0x322c	0x322c	0x6	3	0x2	yes	no	no	no	getuid
string	5	.dynstr	0x3233	0x3233	0xd	3	0x2	yes	no	no	no	secure_getenv
string	5	.dynstr	0x3241	0x3241	0x4	3	0x2	yes	no	no	no	atoi
string	5	.dynstr	0x3246	0x3246	0x8	3	0x2	yes	no	no	no	getpwuid
string	5	.dynstr	0x324f	0x324f	0x7	3	0x2	yes	no	no	no	wmemchr
string	5	.dynstr	0x3257	0x3257	0x8	3	0x2	yes	no	no	no	towlower
string	5	.dynstr	0x3260	0x3260	0x6	3	0x2	yes	no	no	no	strcmp
string	5	.dynstr	0x3267	0x3267	0x4	3	0x2	yes	no	no	no	mmap
string	5	.dynstr	0x326c	0x326c	0x6	3	0x2	yes	no	no	no	munmap
string	5	.dynstr	0x3273	0x3273	0x7	3	0x2	yes	no	no	no	dlclose
string	5	.dynstr	0x327b	0x327b	0x5	3	0x2	yes	no	no	no	dlsym
string	5	.dynstr	0x3281	0x3281	0x5	3	0x2	yes	no	no	no	fgets
string	5	.dynstr	0x3287	0x3287	0x4	3	0x2	yes	no	no	no	feof
string	5	.dynstr	0x328c	0x328c	0x6	3	0x2	yes	no	no	no	strchr
string	5	.dynstr	0x3293	0x3293	0x6	3	0x2	yes	no	no	no	dlopen
string	5	.dynstr	0x329a	0x329a	0x5	3	0x2	yes	no	no	no	ioctl
string	5	.dynstr	0x32a0	0x32a0	0x4	3	0x2	yes	no	no	no	recv
string	5	.dynstr	0x32a5	0x32a5	0xa	3	0x2	yes	no	no	no	setsockopt
string	5	.dynstr	0x32b0	0x32b0	0x4	3	0x2	yes	no	no	no	send
string	5	.dynstr	0x32b5	0x32b5	0xc	3	0x2	yes	no	no	no	epoll_create
string	5	.dynstr	0x32c2	0x32c2	0x9	3	0x2	yes	no	no	no	epoll_ctl
string	5	.dynstr	0x32cc	0x32cc	0xa	3	0x2	yes	no	no	no	epoll_wait
string	5	.dynstr	0x32d7	0x32d7	0x5	3	0x2	yes	no	no	no	fcntl
string	5	.dynstr	0x32dd	0x32dd	0x7	3	0x2	yes	no	no	no	connect
string	5	.dynstr	0x32e5	0x32e5	0xa	3	0x2	yes	no	no	no	getsockopt
string	5	.dynstr	0x32f0	0x32f0	0xb	3	0x2	yes	no	no	no	getaddrinfo
string	5	.dynstr	0x32fc	0x32fc	0xc	3	0x2	yes	no	no	no	freeaddrinfo
string	5	.dynstr	0x3309	0x3309	0x5	3	0x2	yes	no	no	no	popen
string	5	.dynstr	0x330f	0x330f	0x6	3	0x2	yes	no	no	no	pclose
string	5	.dynstr	0x3316	0x3316	0x6	3	0x2	yes	no	no	no	socket
string	5	.dynstr	0x331d	0x331d	0x7	3	0x2	yes	no	no	no	isspace
string	5	.dynstr	0x3325	0x3325	0x5	3	0x2	yes	no	no	no	lseek
string	5	.dynstr	0x332b	0x332b	0x5	3	0x2	yes	no	no	no	uname
string	5	.dynstr	0x3331	0x3331	0x11	3	0x2	yes	no	no	no	pthread_cond_init
string	5	.dynstr	0x3343	0x3343	0x14	3	0x2	yes	no	no	no	pthread_cond_destroy
string	5	.dynstr	0x3358	0x3358	0x16	3	0x2	yes	no	no	no	pthread_cond_broadcast
string	5	.dynstr	0x336f	0x336f	0x11	3	0x2	yes	no	no	no	pthread_cond_wait
string	5	.dynstr	0x3381	0x3381	0x16	3	0x2	yes	no	no	no	pthread_cond_timedwait
string	5	.dynstr	0x3398	0x3398	0x16	3	0x2	yes	no	no	no	pthread_mutexattr_init
string	5	.dynstr	0x33af	0x33af	0x19	3	0x2	yes	no	no	no	pthread_mutexattr_settype
string	5	.dynstr	0x33c9	0x33c9	0x12	3	0x2	yes	no	no	no	pthread_mutex_init
string	5	.dynstr	0x33dc	0x33dc	0x15	3	0x2	yes	no	no	no	pthread_mutex_destroy
string	5	.dynstr	0x33f2	0x33f2	0x12	3	0x2	yes	no	no	no	pthread_mutex_lock
string	5	.dynstr	0x3405	0x3405	0x15	3	0x2	yes	no	no	no	pthread_mutex_trylock
string	5	.dynstr	0x341b	0x341b	0x14	3	0x2	yes	no	no	no	pthread_mutex_unlock
string	5	.dynstr	0x3430	0x3430	0xe	3	0x2	yes	no	no	no	pthread_create
string	5	.dynstr	0x343f	0x343f	0xc	3	0x2	yes	no	no	no	pthread_join
string	5	.dynstr	0x344c	0x344c	0xb	3	0x2	yes	no	no	no	sched_yield
string	5	.dynstr	0x3458	0x3458	0xc	3	0x2	yes	no	no	no	pthread_self
string	5	.dynstr	0x3465	0x3465	0x16	3	0x2	yes	no	no	no	sched_get_priority_max
string	5	.dynstr	0x347c	0x347c	0x15	3	0x2	yes	no	no	no	pthread_setschedparam
string	5	.dynstr	0x3492	0x3492	0x9	3	0x2	yes	no	no	no	nanosleep
string	5	.dynstr	0x349c	0x349c	0x7	3	0x2	yes	no	no	no	getppid
string	5	.dynstr	0x34a4	0x34a4	0xf	3	0x2	yes	no	no	no	dl_iterate_phdr
string	5	.dynstr	0x34b4	0x34b4	0x6	3	0x2	yes	no	no	no	fwrite
string	5	.dynstr	0x34bb	0x34bb	0x9	3	0x2	yes	no	no	no	vsnprintf
string	5	.dynstr	0x34c5	0x34c5	0x9	3	0x2	yes	no	no	no	vswprintf
string	5	.dynstr	0x34cf	0x34cf	0x8	3	0x2	yes	no	no	no	mbstowcs
string	5	.dynstr	0x34d8	0x34d8	0x8	3	0x2	yes	no	no	no	wcstombs
string	5	.dynstr	0x34e1	0x34e1	0xa	3	0x2	yes	no	no	no	iconv_open
string	5	.dynstr	0x34ec	0x34ec	0x5	3	0x2	yes	no	no	no	iconv
string	5	.dynstr	0x34f2	0x34f2	0xb	3	0x2	yes	no	no	no	iconv_close
string	5	.dynstr	0x34fe	0x34fe	0x8	3	0x2	yes	no	no	no	strerror
string	5	.dynstr	0x3507	0x3507	0x8	3	0x2	yes	no	no	no	gmtime_r
string	5	.dynstr	0x3510	0x3510	0x8	3	0x2	yes	no	no	no	strftime
string	5	.dynstr	0x3519	0x3519	0x8	3	0x2	yes	no	no	no	wcsftime
string	5	.dynstr	0x3522	0x3522	0x1d	3	0x2	yes	no	no	no	ZydisDecoderDecodeInstruction
string	5	.dynstr	0x3540	0x3540	0x1a	3	0x2	yes	no	no	no	ZydisDecoderDecodeOperands
string	5	.dynstr	0x355b	0x355b	0x18	3	0x2	yes	no	no	no	ZydisCalcAbsoluteAddress
string	5	.dynstr	0x3574	0x3574	0x10	3	0x2	yes	no	no	no	ZydisDecoderInit
string	5	.dynstr	0x3585	0x3585	0xc	3	0x2	yes	no	no	no	memfd_create
string	5	.dynstr	0x3592	0x3592	0x9	3	0x2	yes	no	no	no	ftruncate
string	5	.dynstr	0x359c	0x359c	0xa	3	0x2	yes	no	no	no	librt.so.1
string	5	.dynstr	0x35a7	0x35a7	0x6	3	0x2	yes	no	no	no	strstr
string	5	.dynstr	0x35ae	0x35ae	0x7	3	0x2	yes	no	no	no	__xstat
string	5	.dynstr	0x35b6	0x35b6	0x6	3	0x2	yes	no	no	no	gmtime
string	5	.dynstr	0x35bd	0x35bd	0x7	3	0x2	yes	no	no	no	putchar
string	5	.dynstr	0x35c5	0x35c5	0x9	3	0x2	yes	no	no	no	__udivti3
string	5	.dynstr	0x35cf	0x35cf	0x6	3	0x2	yes	no	no	no	ferror
string	5	.dynstr	0x35d6	0x35d6	0x4	3	0x2	yes	no	no	no	rand
string	5	.dynstr	0x35db	0x35db	0x6	3	0x2	yes	no	no	no	signal
string	5	.dynstr	0x35e2	0x35e2	0x5	3	0x2	yes	no	no	no	alarm
string	5	.dynstr	0x35e8	0x35e8	0xe	3	0x2	yes	no	no	no	blake3_version
string	5	.dynstr	0x35f7	0x35f7	0xd	3	0x2	yes	no	no	no	__popcountdi2
string	5	.dynstr	0x3605	0x3605	0xc	3	0x2	yes	no	no	no	__memcpy_chk
string	5	.dynstr	0x3612	0x3612	0x18	3	0x2	yes	no	no	no	blake3_hasher_init_keyed
string	5	.dynstr	0x362b	0x362b	0x1b	3	0x2	yes	no	no	no	blake3_hasher_finalize_seek
string	5	.dynstr	0x3647	0x3647	0x21	3	0x2	yes	no	no	no	blake3_hasher_init_derive_key_raw
string	5	.dynstr	0x3669	0x3669	0x1d	3	0x2	yes	no	no	no	blake3_hasher_init_derive_key
string	5	.dynstr	0x3687	0x3687	0x16	3	0x2	yes	no	no	no	_blake3_hash_many_avx2
string	5	.dynstr	0x369e	0x369e	0x18	3	0x2	yes	no	no	no	_blake3_hash_many_avx512
string	5	.dynstr	0x36b7	0x36b7	0x20	3	0x2	yes	no	no	no	_blake3_compress_in_place_avx512
string	5	.dynstr	0x36d8	0x36d8	0x1b	3	0x2	yes	no	no	no	_blake3_compress_xof_avx512
string	5	.dynstr	0x36f4	0x36f4	0x17	3	0x2	yes	no	no	no	_blake3_xof_many_avx512
string	5	.dynstr	0x370c	0x370c	0x16	3	0x2	yes	no	no	no	_blake3_hash_many_sse2
string	5	.dynstr	0x3723	0x3723	0x1e	3	0x2	yes	no	no	no	_blake3_compress_in_place_sse2
string	5	.dynstr	0x3742	0x3742	0x19	3	0x2	yes	no	no	no	_blake3_compress_xof_sse2
string	5	.dynstr	0x375c	0x375c	0x17	3	0x2	yes	no	no	no	_blake3_hash_many_sse41
string	5	.dynstr	0x3774	0x3774	0x1f	3	0x2	yes	no	no	no	_blake3_compress_in_place_sse41
string	5	.dynstr	0x3794	0x3794	0x1a	3	0x2	yes	no	no	no	_blake3_compress_xof_sse41
string	5	.dynstr	0x37af	0x37af	0xa	3	0x2	yes	no	no	no	libdl.so.2
string	5	.dynstr	0x37ba	0x37ba	0x1a	3	0x2	yes	no	no	no	ZydisCalcAbsoluteAddressEx
string	5	.dynstr	0x37d5	0x37d5	0x13	3	0x2	yes	no	no	no	ZydisRegisterEncode
string	5	.dynstr	0x37e9	0x37e9	0x16	3	0x2	yes	no	no	no	ZydisDecoderEnableMode
string	5	.dynstr	0x3800	0x3800	0x17	3	0x2	yes	no	no	no	zydis_decoder_tree_root
string	5	.dynstr	0x3818	0x3818	0x1c	3	0x2	yes	no	no	no	ZydisDecoderTreeGetChildNode
string	5	.dynstr	0x3835	0x3835	0x1d	3	0x2	yes	no	no	no	ZydisGetInstructionDefinition
string	5	.dynstr	0x3853	0x3853	0x1f	3	0x2	yes	no	no	no	ZydisGetInstructionEncodingInfo
string	5	.dynstr	0x3873	0x3873	0x15	3	0x2	yes	no	no	no	ZydisGetAccessedFlags
string	5	.dynstr	0x3889	0x3889	0x1a	3	0x2	yes	no	no	no	ZydisGetOperandDefinitions
string	5	.dynstr	0x38a4	0x38a4	0x15	3	0x2	yes	no	no	no	ZydisRegisterGetWidth
string	5	.dynstr	0x38ba	0x38ba	0x13	3	0x2	yes	no	no	no	ZydisGetElementInfo
string	5	.dynstr	0x38ce	0x38ce	0x16	3	0x2	yes	no	no	no	ZydisDecoderDecodeFull
string	5	.dynstr	0x38e5	0x38e5	0x16	3	0x2	yes	no	no	no	FILTERS_MODE_IPREFETCH
string	5	.dynstr	0x38fc	0x38fc	0x15	3	0x2	yes	no	no	no	FILTERS_MODE_CLDEMOTE
string	5	.dynstr	0x3912	0x3912	0x15	3	0x2	yes	no	no	no	FILTERS_MODE_WBNOINVD
string	5	.dynstr	0x3928	0x3928	0x12	3	0x2	yes	no	no	no	FILTERS_MODE_TZCNT
string	5	.dynstr	0x393b	0x393b	0x12	3	0x2	yes	no	no	no	FILTERS_MODE_LZCNT
string	5	.dynstr	0x394e	0x394e	0x10	3	0x2	yes	no	no	no	FILTERS_MODE_CET
string	5	.dynstr	0x395f	0x395f	0x10	3	0x2	yes	no	no	no	FILTERS_MODE_MPX
string	5	.dynstr	0x3970	0x3970	0x10	3	0x2	yes	no	no	no	FILTERS_MODE_KNC
string	5	.dynstr	0x3981	0x3981	0x10	3	0x2	yes	no	no	no	FILTERS_MODE_AMD
string	5	.dynstr	0x3992	0x3992	0xe	3	0x2	yes	no	no	no	FILTERS_MVEX_E
string	5	.dynstr	0x39a1	0x39a1	0xe	3	0x2	yes	no	no	no	FILTERS_EVEX_B
string	5	.dynstr	0x39b0	0x39b0	0xd	3	0x2	yes	no	no	no	FILTERS_REX_B
string	5	.dynstr	0x39be	0x39be	0xd	3	0x2	yes	no	no	no	FILTERS_REX_W
string	5	.dynstr	0x39cc	0x39cc	0x15	3	0x2	yes	no	no	no	FILTERS_VECTOR_LENGTH
string	5	.dynstr	0x39e2	0x39e2	0x14	3	0x2	yes	no	no	no	FILTERS_ADDRESS_SIZE
string	5	.dynstr	0x39f7	0x39f7	0x14	3	0x2	yes	no	no	no	FILTERS_OPERAND_SIZE
string	5	.dynstr	0x3a0c	0x3a0c	0x18	3	0x2	yes	no	no	no	FILTERS_MANDATORY_PREFIX
string	5	.dynstr	0x3a25	0x3a25	0x15	3	0x2	yes	no	no	no	FILTERS_PREFIX_GROUP1
string	5	.dynstr	0x3a3b	0x3a3b	0x10	3	0x2	yes	no	no	no	FILTERS_MODRM_RM
string	5	.dynstr	0x3a4c	0x3a4c	0x11	3	0x2	yes	no	no	no	FILTERS_MODRM_REG
string	5	.dynstr	0x3a5e	0x3a5e	0x19	3	0x2	yes	no	no	no	FILTERS_MODRM_MOD_COMPACT
string	5	.dynstr	0x3a78	0x3a78	0x11	3	0x2	yes	no	no	no	FILTERS_MODRM_MOD
string	5	.dynstr	0x3a8a	0x3a8a	0x14	3	0x2	yes	no	no	no	FILTERS_MODE_COMPACT
string	5	.dynstr	0x3a9f	0x3a9f	0xc	3	0x2	yes	no	no	no	FILTERS_MODE
string	5	.dynstr	0x3aac	0x3aac	0xe	3	0x2	yes	no	no	no	FILTERS_OPCODE
string	5	.dynstr	0x3abb	0x3abb	0xd	3	0x2	yes	no	no	no	FILTERS_EMVEX
string	5	.dynstr	0x3ac9	0x3ac9	0xb	3	0x2	yes	no	no	no	FILTERS_VEX
string	5	.dynstr	0x3ad5	0x3ad5	0xb	3	0x2	yes	no	no	no	FILTERS_XOP
string	5	.dynstr	0x3ae1	0x3ae1	0x17	3	0x2	yes	no	no	no	FILTERS_MODE_UD0_COMPAT
string	5	.dynstr	0x3af9	0x3af9	0x14	3	0x2	yes	no	no	no	FILTERS_MODE_CENTAUR
string	5	.dynstr	0x3b0e	0x3b0e	0x12	3	0x2	yes	no	no	no	ZydisRegisterGetId
string	5	.dynstr	0x3b21	0x3b21	0x15	3	0x2	yes	no	no	no	ZydisRegisterGetClass
string	5	.dynstr	0x3b37	0x3b37	0x20	3	0x2	yes	no	no	no	ZydisRegisterGetLargestEnclosing
string	5	.dynstr	0x3b58	0x3b58	0x16	3	0x2	yes	no	no	no	ZydisRegisterGetString
string	5	.dynstr	0x3b6f	0x3b6f	0x1d	3	0x2	yes	no	no	no	ZydisRegisterGetStringWrapped
string	5	.dynstr	0x3b8d	0x3b8d	0x1a	3	0x2	yes	no	no	no	ZydisRegisterClassGetWidth
string	5	.dynstr	0x3ba8	0x3ba8	0x15	3	0x2	yes	no	no	no	ISTR_DEFINITIONS_EVEX
string	5	.dynstr	0x3bbe	0x3bbe	0x15	3	0x2	yes	no	no	no	ISTR_DEFINITIONS_MVEX
string	5	.dynstr	0x3bd4	0x3bd4	0x17	3	0x2	yes	no	no	no	ISTR_DEFINITIONS_LEGACY
string	5	.dynstr	0x3bec	0x3bec	0x16	3	0x2	yes	no	no	no	ISTR_DEFINITIONS_3DNOW
string	5	.dynstr	0x3c03	0x3c03	0x14	3	0x2	yes	no	no	no	ISTR_DEFINITIONS_XOP
string	5	.dynstr	0x3c18	0x3c18	0x14	3	0x2	yes	no	no	no	ISTR_DEFINITIONS_VEX
string	5	.dynstr	0x3c2d	0x3c2d	0x13	3	0x2	yes	no	no	no	OPERAND_DEFINITIONS
string	5	.dynstr	0x3c41	0x3c41	0x6	3	0x2	yes	no	no	no	malloc
string	5	.dynstr	0x3c48	0x3c48	0x11	3	0x2	yes	no	no	no	__cxa_begin_catch
string	5	.dynstr	0x3c5a	0x3c5a	0xf	3	0x2	yes	no	no	no	__cxa_end_catch
string	5	.dynstr	0x3c6a	0x3c6a	0x14	3	0x2	yes	no	no	no	__gxx_personality_v0
string	5	.dynstr	0x3c7f	0x3c7f	0x15	3	0x2	yes	no	no	no	__cxa_deleted_virtual
string	5	.dynstr	0x3c95	0x3c95	0x7	3	0x2	yes	no	no	no	syscall
string	5	.dynstr	0x3c9d	0x3c9d	0x18	3	0x2	yes	no	no	no	__cxa_allocate_exception
string	5	.dynstr	0x3cb6	0x3cb6	0xb	3	0x2	yes	no	no	no	__cxa_throw
string	5	.dynstr	0x3cc2	0x3cc2	0x11	3	0x2	yes	no	no	no	__cxa_guard_abort
string	5	.dynstr	0x3cd4	0x3cd4	0x17	3	0x2	yes	no	no	no	__cxa_get_exception_ptr
string	5	.dynstr	0x3cec	0x3cec	0x11	3	0x2	yes	no	no	no	__cxa_get_globals
string	5	.dynstr	0x3cfe	0x3cfe	0x16	3	0x2	yes	no	no	no	__cxa_get_globals_fast
string	5	.dynstr	0x3d15	0x3d15	0x17	3	0x2	yes	no	no	no	_Unwind_DeleteException
string	5	.dynstr	0x3d2d	0x3d2d	0x16	3	0x2	yes	no	no	no	_Unwind_GetDataRelBase
string	5	.dynstr	0x3d44	0x3d44	0x16	3	0x2	yes	no	no	no	_Unwind_GetRegionStart
string	5	.dynstr	0x3d5b	0x3d5b	0x16	3	0x2	yes	no	no	no	_Unwind_GetTextRelBase
string	5	.dynstr	0x3d72	0x3d72	0xd	3	0x2	yes	no	no	no	_Unwind_SetGR
string	5	.dynstr	0x3d80	0x3d80	0xd	3	0x2	yes	no	no	no	_Unwind_SetIP
string	5	.dynstr	0x3d8e	0x3d8e	0x1f	3	0x2	yes	no	no	no	_Unwind_GetLanguageSpecificData
string	5	.dynstr	0x3dae	0x3dae	0x11	3	0x2	yes	no	no	no	_Unwind_GetIPInfo
string	5	.dynstr	0x3dc0	0x3dc0	0x14	3	0x2	yes	no	no	no	__cxa_call_terminate
string	5	.dynstr	0x3dd5	0x3dd5	0x15	3	0x2	yes	no	no	no	__cxa_call_unexpected
string	5	.dynstr	0x3deb	0x3deb	0xd	3	0x2	yes	no	no	no	__cxa_rethrow
string	5	.dynstr	0x3df9	0x3df9	0xe	3	0x2	yes	no	no	no	_Unwind_Resume
string	5	.dynstr	0x3e08	0x3e08	0x6	3	0x2	yes	no	no	no	stdout
string	5	.dynstr	0x3e0f	0x3e0f	0x5	3	0x2	yes	no	no	no	stdin
string	5	.dynstr	0x3e15	0x3e15	0x6	3	0x2	yes	no	no	no	stderr
string	5	.dynstr	0x3e1c	0x3e1c	0x6	3	0x2	yes	no	no	no	fflush
string	5	.dynstr	0x3e23	0x3e23	0x6	3	0x2	yes	no	no	no	fdopen
string	5	.dynstr	0x3e2a	0x3e2a	0x7	3	0x2	yes	no	no	no	setvbuf
string	5	.dynstr	0x3e32	0x3e32	0x7	3	0x2	yes	no	no	no	fopen64
string	5	.dynstr	0x3e3a	0x3e3a	0x6	3	0x2	yes	no	no	no	fileno
string	5	.dynstr	0x3e41	0x3e41	0x6	3	0x2	yes	no	no	no	writev
string	5	.dynstr	0x3e48	0x3e48	0x7	3	0x2	yes	no	no	no	lseek64
string	5	.dynstr	0x3e50	0x3e50	0x4	3	0x2	yes	no	no	no	poll
string	5	.dynstr	0x3e55	0x3e55	0xa	3	0x2	yes	no	no	no	__fxstat64
string	5	.dynstr	0x3e60	0x3e60	0x9	3	0x2	yes	no	no	no	setlocale
string	5	.dynstr	0x3e6a	0x3e6a	0xf	3	0x2	yes	no	no	no	__nl_langinfo_l
string	5	.dynstr	0x3e7a	0x3e7a	0xb	3	0x2	yes	no	no	no	__uselocale
string	5	.dynstr	0x3e86	0x3e86	0x9	3	0x2	yes	no	no	no	mbsrtowcs
string	5	.dynstr	0x3e90	0x3e90	0x6	3	0x2	yes	no	no	no	wcscmp
string	5	.dynstr	0x3e97	0x3e97	0x20	3	0x2	yes	no	no	no	__cxa_throw_bad_array_new_length
string	5	.dynstr	0x3eb8	0x3eb8	0xe	3	0x2	yes	no	no	no	bindtextdomain
