program	path	ops	state_reduced_ops	dispatch_reduced_ops	edges	string_refs	range	summary	unresolved	family_mix
023	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_023_readable.c	608	553	532	5	0	0x177353..0x177ca2	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:532,operand_table_dispatch:70,fixed_or_affine_dispatch:4,unresolved_dispatch:2
024	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_024_readable.c	325	300	286	3	0	0x179f43..0x17a420	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:286,operand_table_dispatch:35,fixed_or_affine_dispatch:4
025	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_025_readable.c	929	858	835	7	0	0x18b66f..0x18c467	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:835,operand_table_dispatch:84,fixed_or_affine_dispatch:10
026	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_026_readable.c	1496	1362	1317	13	0	0x1a480d..0x1a5f08	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:1317,operand_table_dispatch:160,fixed_or_affine_dispatch:14,unresolved_dispatch:4,long_or_backedge_control:1
027	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_027_readable.c	70	62	59	1	0	0x1a5f3d..0x1a6041	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:59,operand_table_dispatch:10,fixed_or_affine_dispatch:1
028	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_028_readable.c	1317	1226	1191	9	0	0x1ec0ab..0x1ed483	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:1191,operand_table_dispatch:115,fixed_or_affine_dispatch:11
029	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_029_readable.c	436	407	394	6	0	0x22fe2d..0x2304b8	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:394,operand_table_dispatch:35,fixed_or_affine_dispatch:5,long_or_backedge_control:2
030	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_030_readable.c	740	687	667	4	0	0x230722..0x231237	VM dispatch/math only so far; no behavioral data refs recovered	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:667,operand_table_dispatch:67,fixed_or_affine_dispatch:5,unresolved_dispatch:1
031	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_031_readable.c	315	292	281	2	1	0x2316bf..0x231b74	C++ runtime/support surface	intent_not_final;external_or_exit_edges_need_semantics	obfuscated_table_dispatch:281,operand_table_dispatch:31,fixed_or_affine_dispatch:3
032	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_032_readable.c	2708	2493	2432	16	0	0x249468..0x24bd2a	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:2432,operand_table_dispatch:245,fixed_or_affine_dispatch:31
033	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_033_readable.c	113	103	101	1	0	0x26cd71..0x26cf3b	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:101,operand_table_dispatch:7,fixed_or_affine_dispatch:4,long_or_backedge_control:1
034	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_034_readable.c	1437	1320	1280	1	1	0x26db07..0x26f097	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final	obfuscated_table_dispatch:1280,operand_table_dispatch:135,fixed_or_affine_dispatch:21,long_or_backedge_control:1
035	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_035_readable.c	834	758	740	13	0	0x292986..0x293689	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:740,operand_table_dispatch:86,fixed_or_affine_dispatch:8
036	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_036_readable.c	272	254	249	3	0	0x2bec2e..0x2bf068	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:249,operand_table_dispatch:18,fixed_or_affine_dispatch:4,long_or_backedge_control:1
037	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_037_readable.c	157	147	144	2	0	0x2bf297..0x2bf50f	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:144,operand_table_dispatch:9,fixed_or_affine_dispatch:3,long_or_backedge_control:1
038	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_038_readable.c	14	12	11	1	0	0x2bf97c..0x2bf9cc	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:11,fixed_or_affine_dispatch:2,long_or_backedge_control:1
039	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_039_readable.c	476	445	433	4	1	0x2bfe6f..0x2c05b1	network-facing logic or network import reference	intent_not_final	obfuscated_table_dispatch:433,operand_table_dispatch:38,fixed_or_affine_dispatch:4,long_or_backedge_control:1
040	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_040_readable.c	165	151	144	2	1	0x2c1156..0x2c13ed	C++ runtime/support surface	intent_not_final	obfuscated_table_dispatch:144,operand_table_dispatch:18,fixed_or_affine_dispatch:2,long_or_backedge_control:1
041	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_041_readable.c	8444	7743	7517	13	5	0x30e872..0x316692	crypto/hash helper surface; C++ runtime/support surface; disassembly metadata surface	needs_final_dataflow_confirmation	obfuscated_table_dispatch:7517,operand_table_dispatch:788,fixed_or_affine_dispatch:130,long_or_backedge_control:8,unresolved_dispatch:1
042	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_042_readable.c	3387	3148	3056	28	4	0x31aa27..0x31ddb5	C++ runtime/support surface	needs_final_dataflow_confirmation	obfuscated_table_dispatch:3056,operand_table_dispatch:280,fixed_or_affine_dispatch:38,long_or_backedge_control:11,unresolved_dispatch:2
043	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_043_readable.c	554	510	497	10	0	0x31df8f..0x31e862	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:497,operand_table_dispatch:49,fixed_or_affine_dispatch:6,long_or_backedge_control:2
044	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_044_readable.c	14	11	10	1	0	0x31ea5c..0x31eaac	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:10,fixed_or_affine_dispatch:2,operand_table_dispatch:1,long_or_backedge_control:1
045	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_045_readable.c	520	476	459	4	1	0x31eae4..0x31f2b1	threading or synchronization surface	intent_not_final;external_or_exit_edges_need_semantics	obfuscated_table_dispatch:459,operand_table_dispatch:55,fixed_or_affine_dispatch:6
046	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_046_readable.c	2184	2034	1969	18	2	0x33170b..0x33384d	C++ runtime/support surface	needs_final_dataflow_confirmation	obfuscated_table_dispatch:1969,operand_table_dispatch:186,fixed_or_affine_dispatch:24,long_or_backedge_control:4,unresolved_dispatch:1
047	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_047_readable.c	220	208	197	2	0	0x333882..0x333bc9	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:197,operand_table_dispatch:21,fixed_or_affine_dispatch:2
048	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_048_readable.c	2333	2144	2077	13	3	0x334a3d..0x336d93	C++ runtime/support surface	needs_final_dataflow_confirmation	obfuscated_table_dispatch:2077,operand_table_dispatch:201,fixed_or_affine_dispatch:48,long_or_backedge_control:6,unresolved_dispatch:1
049	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_049_readable.c	222	205	203	1	0	0x336dc8..0x33710f	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:203,operand_table_dispatch:15,fixed_or_affine_dispatch:4
050	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_050_readable.c	2416	2216	2165	15	0	0x337e84..0x33a350	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:2165,operand_table_dispatch:223,fixed_or_affine_dispatch:25,long_or_backedge_control:2,unresolved_dispatch:1
051	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_051_readable.c	220	203	197	2	0	0x33a385..0x33a6cc	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:197,operand_table_dispatch:21,fixed_or_affine_dispatch:2
052	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_052_readable.c	1891	1733	1690	5	2	0x33b647..0x33d2d9	TLS/SSL protocol or library-adjacent logic; host/environment inventory surface	external_or_exit_edges_need_semantics	obfuscated_table_dispatch:1690,operand_table_dispatch:162,fixed_or_affine_dispatch:37,long_or_backedge_control:2
053	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_053_readable.c	853	783	756	9	0	0x33db28..0x33e849	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:756,operand_table_dispatch:85,fixed_or_affine_dispatch:10,long_or_backedge_control:2
054	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_054_readable.c	92	84	78	2	0	0x33e889..0x33ea02	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:78,operand_table_dispatch:9,fixed_or_affine_dispatch:3,long_or_backedge_control:2
055	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_055_readable.c	6540	6035	5886	45	17	0x33f278..0x34556c	TLS/SSL protocol or library-adjacent logic; threading or synchronization surface; host/environment inventory surface; process or shell helper surface; C++ runtime/support surface	external_or_exit_edges_need_semantics	obfuscated_table_dispatch:5886,operand_table_dispatch:513,fixed_or_affine_dispatch:112,long_or_backedge_control:24,unresolved_dispatch:5
056	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_056_readable.c	5215	4814	4689	22	0	0x3603af..0x36525e	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:4689,operand_table_dispatch:423,fixed_or_affine_dispatch:89,long_or_backedge_control:10,unresolved_dispatch:4
057	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_057_readable.c	14	10	9	1	0	0x365458..0x3654a8	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:9,fixed_or_affine_dispatch:2,operand_table_dispatch:2,long_or_backedge_control:1
058	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_058_readable.c	70	65	64	1	0	0x3654e0..0x3655e4	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:64,operand_table_dispatch:5,fixed_or_affine_dispatch:1
059	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_059_readable.c	2468	2286	2219	24	4	0x3674c3..0x369a93	C++ runtime/support surface	needs_final_dataflow_confirmation	obfuscated_table_dispatch:2219,operand_table_dispatch:205,fixed_or_affine_dispatch:35,long_or_backedge_control:7,unresolved_dispatch:2
060	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_060_readable.c	387	360	350	4	0	0x369ad3..0x36a0bc	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:350,operand_table_dispatch:30,fixed_or_affine_dispatch:5,long_or_backedge_control:2
061	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_061_readable.c	2335	2174	2095	22	2	0x36b124..0x36d4e4	C++ runtime/support surface	needs_final_dataflow_confirmation	obfuscated_table_dispatch:2095,operand_table_dispatch:210,fixed_or_affine_dispatch:23,long_or_backedge_control:5,unresolved_dispatch:2
062	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_062_readable.c	387	349	339	4	1	0x36d524..0x36db0d	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final	obfuscated_table_dispatch:339,operand_table_dispatch:38,fixed_or_affine_dispatch:8,long_or_backedge_control:2
063	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_063_readable.c	2661	2453	2387	28	4	0x36ecdc..0x3715ae	TLS/SSL protocol or library-adjacent logic; host/environment inventory surface; process or shell helper surface; C++ runtime/support surface	needs_final_dataflow_confirmation	obfuscated_table_dispatch:2387,operand_table_dispatch:225,fixed_or_affine_dispatch:37,long_or_backedge_control:11,unresolved_dispatch:1
064	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_064_readable.c	35	30	28	2	0	0x3716c7..0x37176c	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:28,fixed_or_affine_dispatch:3,operand_table_dispatch:2,long_or_backedge_control:2
065	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_065_readable.c	529	476	461	6	0	0x3717c4..0x371ff7	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:461,operand_table_dispatch:58,fixed_or_affine_dispatch:8,unresolved_dispatch:1,long_or_backedge_control:1
