program	first_seen_rank	range	rows	blocks	summary	evidence_basis	behavior_tags	confidence	exact_side_effect_categories	role_mix	top_strings	outgoing_targets	incoming_programs	external_or_exit_edges	top_opcodes	state_kind_mix	dispatch_slot_mix	source_c	vmops	dossier	unresolved	next_action
010	6	0x11c2aa..0x11de59	1823	15	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			010:12,055:1,056:1,011:1	010:12,009:1	0	vmop_114_plus0x4_state_add_const_slot_multi_path:77,vmop_028_plus0x3_state_add_const_slot_u16_0:69,vmop_347_plus0x4_state_add_const_slot_multi_path:69,vmop_018_plus0x3_state_add_const_slot_multi_path:62,vmop_337_plus0x4_state_add_const_slot_multi_path:62,vmop_258_plus0x4_state_add_const_slot_multi_path:61,vmop_340_plus0x4_state_add_const_slot_multi_path:60,vmop_064_plus0x4_state_add_const_slot_multi_path:59,vmop_297_plus0x3_state_add_const_slot_multi_path:57,vmop_066_plus0x3_state_add_const_slot_multi_path:56	state_add_const:1695,state_mixed:99,state_const_post:20,state_preserve:5,state_affine:3,sampled_backedge:1	slot_multi_path:1228,slot_mba_stateful:406,slot_u16_0:120,slot_u16_1_sub_const:51,slot_const_or_affine:17,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_010.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_010.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_010.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
011	42	0x11de9f..0x11e3bb	326	4	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			011:3,012:1	011:3,010:1	0	vmop_199_plus0x3_state_add_const_slot_multi_path:15,vmop_347_plus0x4_state_add_const_slot_multi_path:15,vmop_337_plus0x4_state_add_const_slot_multi_path:14,vmop_297_plus0x3_state_add_const_slot_multi_path:13,vmop_333_plus0x4_state_add_const_slot_multi_path:12,vmop_018_plus0x3_state_add_const_slot_multi_path:12,vmop_114_plus0x4_state_add_const_slot_multi_path:12,vmop_258_plus0x4_state_add_const_slot_multi_path:11,vmop_189_plus0x4_state_add_const_slot_mba_stateful:11,vmop_185_plus0x3_state_add_const_slot_multi_path:10	state_add_const:303,state_mixed:12,state_const_post:7,state_formula:2,state_preserve:1,sampled_backedge:1	slot_multi_path:234,slot_mba_stateful:65,slot_u16_0:12,slot_u16_1_sub_const:9,slot_const_or_affine:4,slot_u16_2:1,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_011.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_011.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_011.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
012	43	0x11e574..0x11ef0e	632	5	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			012:4,013:1	012:4,011:1	0	vmop_018_plus0x3_state_add_const_slot_multi_path:28,vmop_337_plus0x4_state_add_const_slot_multi_path:27,vmop_340_plus0x4_state_add_const_slot_multi_path:26,vmop_028_plus0x3_state_add_const_slot_u16_0:25,vmop_189_plus0x4_state_add_const_slot_mba_stateful:24,vmop_064_plus0x4_state_add_const_slot_multi_path:24,vmop_347_plus0x4_state_add_const_slot_multi_path:23,vmop_258_plus0x4_state_add_const_slot_multi_path:20,vmop_215_plus0x3_state_mixed_slot_u16_0:19,vmop_199_plus0x3_state_add_const_slot_multi_path:18	state_add_const:589,state_mixed:32,state_const_post:8,state_preserve:1,state_affine:1,sampled_long_or_sparse:1	slot_multi_path:429,slot_mba_stateful:133,slot_u16_0:44,slot_u16_1_sub_const:18,slot_const_or_affine:7,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_012.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_012.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_012.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
013	44	0x11ef65..0x11f4da	356	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			013:2,014:1	013:2,012:1	0	vmop_114_plus0x4_state_add_const_slot_multi_path:19,vmop_297_plus0x3_state_add_const_slot_multi_path:15,vmop_066_plus0x3_state_add_const_slot_multi_path:14,vmop_347_plus0x4_state_add_const_slot_multi_path:13,vmop_340_plus0x4_state_add_const_slot_multi_path:13,vmop_215_plus0x3_state_mixed_slot_u16_0:12,vmop_189_plus0x4_state_add_const_slot_mba_stateful:12,vmop_043_plus0x4_state_add_const_slot_mba_stateful:12,vmop_185_plus0x3_state_add_const_slot_multi_path:11,vmop_337_plus0x4_state_add_const_slot_multi_path:11	state_add_const:323,state_mixed:23,state_const_post:8,state_affine:1,sampled_long_or_sparse:1	slot_multi_path:242,slot_mba_stateful:77,slot_u16_0:20,slot_u16_1_sub_const:11,slot_const_or_affine:5,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_013.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_013.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_013.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
014	45	0x1209d2..0x120ebe	320	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			014:2,015:1	014:2,013:1	0	vmop_018_plus0x3_state_add_const_slot_multi_path:14,vmop_114_plus0x4_state_add_const_slot_multi_path:14,vmop_340_plus0x4_state_add_const_slot_multi_path:13,vmop_185_plus0x3_state_add_const_slot_multi_path:13,vmop_297_plus0x3_state_add_const_slot_multi_path:12,vmop_347_plus0x4_state_add_const_slot_multi_path:12,vmop_064_plus0x4_state_add_const_slot_multi_path:12,vmop_258_plus0x4_state_add_const_slot_multi_path:11,vmop_189_plus0x4_state_add_const_slot_mba_stateful:11,vmop_203_plus0x4_state_add_const_slot_mba_stateful:10	state_add_const:293,state_mixed:21,state_const_post:4,state_formula:1,sampled_long_or_sparse:1	slot_multi_path:210,slot_mba_stateful:78,slot_u16_0:19,slot_u16_1_sub_const:8,slot_const_or_affine:4,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_014.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_014.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_014.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
015	49	0x1210d6..0x121ada	642	7	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			015:6,016:1	015:6,014:1	0	vmop_114_plus0x4_state_add_const_slot_multi_path:31,vmop_018_plus0x3_state_add_const_slot_multi_path:26,vmop_258_plus0x4_state_add_const_slot_multi_path:24,vmop_215_plus0x3_state_mixed_slot_u16_0:24,vmop_337_plus0x4_state_add_const_slot_multi_path:23,vmop_189_plus0x4_state_add_const_slot_mba_stateful:23,vmop_347_plus0x4_state_add_const_slot_multi_path:22,vmop_064_plus0x4_state_add_const_slot_multi_path:21,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:20,vmop_028_plus0x3_state_add_const_slot_u16_0:20	state_add_const:582,state_mixed:46,state_const_post:9,state_formula:2,sampled_long_or_sparse:2,state_affine:1	slot_multi_path:414,slot_mba_stateful:153,slot_u16_0:44,slot_u16_1_sub_const:20,slot_const_or_affine:8,slot_unknown:2,slot_u16_0_sub_const:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_015.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_015.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_015.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
016	51	0x121b31..0x12201d	319	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			016:2,017:1	016:2,015:1	0	vmop_189_plus0x4_state_add_const_slot_mba_stateful:19,vmop_340_plus0x4_state_add_const_slot_multi_path:17,vmop_018_plus0x3_state_add_const_slot_multi_path:14,vmop_297_plus0x3_state_add_const_slot_multi_path:12,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:12,vmop_066_plus0x3_state_add_const_slot_multi_path:12,vmop_028_plus0x3_state_add_const_slot_u16_0:12,vmop_337_plus0x4_state_add_const_slot_multi_path:11,vmop_258_plus0x4_state_add_const_slot_multi_path:10,vmop_347_plus0x4_state_add_const_slot_multi_path:9	state_add_const:300,state_mixed:13,state_const_post:4,state_formula:1,sampled_long_or_sparse:1	slot_multi_path:201,slot_mba_stateful:86,slot_u16_0:16,slot_u16_1_sub_const:12,slot_const_or_affine:3,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_016.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_016.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_016.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
017	53	0x122074..0x1222ed	157	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			017:1,018:1	016:1,017:1	0	vmop_028_plus0x3_state_add_const_slot_u16_0:7,vmop_114_plus0x4_state_add_const_slot_multi_path:7,vmop_189_plus0x4_state_add_const_slot_mba_stateful:7,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:7,vmop_347_plus0x4_state_add_const_slot_multi_path:6,vmop_158_plus0x4_state_add_const_slot_multi_path:6,vmop_018_plus0x3_state_add_const_slot_multi_path:6,vmop_337_plus0x4_state_add_const_slot_multi_path:6,vmop_157_plus0x4_state_add_const_slot_multi_path:5,vmop_199_plus0x3_state_add_const_slot_multi_path:5	state_add_const:142,state_mixed:9,state_const_post:2,state_preserve:1,state_formula:1,state_affine:1,sampled_long_or_sparse:1	slot_multi_path:97,slot_mba_stateful:39,slot_u16_0:11,slot_u16_1_sub_const:7,slot_const_or_affine:2,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_017.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_017.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_017.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
018	56	0x122344..0x1226e6	229	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			018:2,019:1	018:2,017:1	0	vmop_258_plus0x4_state_add_const_slot_multi_path:14,vmop_114_plus0x4_state_add_const_slot_multi_path:9,vmop_018_plus0x3_state_add_const_slot_multi_path:9,vmop_333_plus0x4_state_add_const_slot_multi_path:9,vmop_066_plus0x3_state_add_const_slot_multi_path:8,vmop_340_plus0x4_state_add_const_slot_multi_path:8,vmop_347_plus0x4_state_add_const_slot_multi_path:7,vmop_185_plus0x3_state_add_const_slot_multi_path:7,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:7,vmop_157_plus0x4_state_add_const_slot_multi_path:6	state_add_const:213,state_mixed:12,state_const_post:2,state_preserve:1,sampled_long_or_sparse:1	slot_multi_path:160,slot_mba_stateful:47,slot_u16_0:11,slot_u16_1_sub_const:7,slot_const_or_affine:3,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_018.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_018.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_018.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
019	64	0x122a46..0x122e3c	258	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			019:1,external_or_exit:1	018:1,019:1	1	vmop_028_plus0x3_state_add_const_slot_u16_0:15,vmop_340_plus0x4_state_add_const_slot_multi_path:12,vmop_018_plus0x3_state_add_const_slot_multi_path:11,vmop_114_plus0x4_state_add_const_slot_multi_path:10,vmop_189_plus0x4_state_add_const_slot_mba_stateful:10,vmop_064_plus0x4_state_add_const_slot_multi_path:10,vmop_185_plus0x3_state_add_const_slot_multi_path:9,vmop_199_plus0x3_state_add_const_slot_multi_path:8,vmop_297_plus0x3_state_add_const_slot_multi_path:8,vmop_176_plus0x4_state_add_const_slot_multi_path:8	state_add_const:247,state_mixed:6,state_const_post:4,exact:1	slot_multi_path:164,slot_mba_stateful:62,slot_u16_0:18,slot_const_or_affine:6,slot_u16_1_sub_const:5,slot_u16_2:2,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_019.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_019.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_019.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
020	58	0x128952..0x12906f	477	3	host/environment inventory surface	exact string/data references plus opcode/control evidence	control_transfer_or_native_bridge_candidate	low_to_medium	host_environment_inventory:1	cpu_or_runtime_configuration_name:1	FILTERS_MODE_IPREFETCH	020:2,external_or_exit:1	020:2	1	vmop_340_plus0x4_state_add_const_slot_multi_path:23,vmop_185_plus0x3_state_add_const_slot_multi_path:20,vmop_347_plus0x4_state_add_const_slot_multi_path:20,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:19,vmop_064_plus0x4_state_add_const_slot_multi_path:17,vmop_189_plus0x4_state_add_const_slot_mba_stateful:17,vmop_066_plus0x3_state_add_const_slot_multi_path:16,vmop_258_plus0x4_state_add_const_slot_multi_path:15,vmop_018_plus0x3_state_add_const_slot_multi_path:15,vmop_337_plus0x4_state_add_const_slot_multi_path:14	state_add_const:451,state_mixed:21,state_const_post:4,state_preserve:1	slot_multi_path:318,slot_mba_stateful:110,slot_u16_0:24,slot_u16_1_sub_const:19,slot_const_or_affine:6	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_020.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_020.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_020.md	intent_not_final;external_or_exit_edges_need_semantics	reduce opcode/dataflow around referenced site and native bridge target
021	57	0x1705a9..0x17452e	4230	26	threading or synchronization surface	exact string/data references plus opcode/control evidence	threading_sync	low_to_medium	threading_sync:1	threading_import_symbol:1	pthread_mutexattr_init	021:25,external_or_exit:1	021:25	1	vmop_018_plus0x3_state_add_const_slot_multi_path:167,vmop_337_plus0x4_state_add_const_slot_multi_path:163,vmop_189_plus0x4_state_add_const_slot_mba_stateful:157,vmop_258_plus0x4_state_add_const_slot_multi_path:155,vmop_064_plus0x4_state_add_const_slot_multi_path:150,vmop_347_plus0x4_state_add_const_slot_multi_path:147,vmop_114_plus0x4_state_add_const_slot_multi_path:136,vmop_066_plus0x3_state_add_const_slot_multi_path:135,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:134,vmop_028_plus0x3_state_add_const_slot_u16_0:132	state_add_const:3956,state_mixed:213,state_const_post:53,state_preserve:8	slot_multi_path:2797,slot_mba_stateful:1024,slot_u16_0:238,slot_u16_1_sub_const:134,slot_const_or_affine:37	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_021.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_021.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_021.md	intent_not_final;external_or_exit_edges_need_semantics	reduce opcode/dataflow around referenced site and native bridge target
022	46	0x176883..0x17731c	698	5	control-transfer/native-bridge candidate with no exact side-effect reference yet	exact string/data references plus opcode/control evidence	control_transfer_or_native_bridge_candidate	low_to_medium	compiler_metadata:1	compiler_type_name:1	unsigned __int128	022:4,023:1	022:4	0	vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:34,vmop_114_plus0x4_state_add_const_slot_multi_path:30,vmop_340_plus0x4_state_add_const_slot_multi_path:30,vmop_028_plus0x3_state_add_const_slot_u16_0:29,vmop_064_plus0x4_state_add_const_slot_multi_path:27,vmop_337_plus0x4_state_add_const_slot_multi_path:22,vmop_347_plus0x4_state_add_const_slot_multi_path:21,vmop_168_plus0x4_state_add_const_slot_multi_path:21,vmop_199_plus0x3_state_add_const_slot_multi_path:21,vmop_258_plus0x4_state_add_const_slot_multi_path:21	state_add_const:656,state_mixed:27,state_const_post:10,state_preserve:3,state_affine:1,sampled_long_or_sparse:1	slot_multi_path:467,slot_mba_stateful:144,slot_u16_0:44,slot_u16_1_sub_const:34,slot_const_or_affine:8,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_022.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_022.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_022.md	intent_not_final	reduce opcode/dataflow around referenced site and native bridge target
023	47	0x177353..0x177ca2	608	5	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			023:4,024:1	023:4,022:1	0	vmop_028_plus0x3_state_add_const_slot_u16_0:29,vmop_337_plus0x4_state_add_const_slot_multi_path:25,vmop_064_plus0x4_state_add_const_slot_multi_path:25,vmop_189_plus0x4_state_add_const_slot_mba_stateful:21,vmop_258_plus0x4_state_add_const_slot_multi_path:21,vmop_215_plus0x3_state_mixed_slot_u16_0:19,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:19,vmop_199_plus0x3_state_add_const_slot_multi_path:16,vmop_066_plus0x3_state_add_const_slot_multi_path:15,vmop_114_plus0x4_state_add_const_slot_multi_path:15	state_add_const:557,state_mixed:37,state_const_post:11,state_preserve:1,state_formula:1,exact:1	slot_multi_path:387,slot_mba_stateful:145,slot_u16_0:49,slot_u16_1_sub_const:19,slot_const_or_affine:4,slot_u16_2:2,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_023.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_023.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_023.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
024	48	0x179f43..0x17a420	325	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			024:2,external_or_exit:1	024:2,023:1	1	vmop_064_plus0x4_state_add_const_slot_multi_path:22,vmop_018_plus0x3_state_add_const_slot_multi_path:20,vmop_189_plus0x4_state_add_const_slot_mba_stateful:16,vmop_114_plus0x4_state_add_const_slot_multi_path:15,vmop_066_plus0x3_state_add_const_slot_multi_path:15,vmop_215_plus0x3_state_mixed_slot_u16_0:14,vmop_347_plus0x4_state_add_const_slot_multi_path:12,vmop_258_plus0x4_state_add_const_slot_multi_path:12,vmop_123_plus0x4_state_add_const_slot_mba_stateful:12,vmop_028_plus0x3_state_add_const_slot_u16_0:11	state_add_const:303,state_mixed:19,state_const_post:3	slot_multi_path:221,slot_mba_stateful:65,slot_u16_0:25,slot_u16_1_sub_const:10,slot_const_or_affine:4	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_024.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_024.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_024.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
025	7	0x18b66f..0x18c467	929	7	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			025:6,external_or_exit:1	025:6	1	vmop_018_plus0x3_state_add_const_slot_multi_path:39,vmop_114_plus0x4_state_add_const_slot_multi_path:38,vmop_066_plus0x3_state_add_const_slot_multi_path:36,vmop_189_plus0x4_state_add_const_slot_mba_stateful:36,vmop_064_plus0x4_state_add_const_slot_multi_path:34,vmop_199_plus0x3_state_add_const_slot_multi_path:33,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:33,vmop_337_plus0x4_state_add_const_slot_multi_path:32,vmop_347_plus0x4_state_add_const_slot_multi_path:32,vmop_258_plus0x4_state_add_const_slot_multi_path:31	state_add_const:865,state_mixed:49,state_const_post:11,state_preserve:3,state_affine:1	slot_multi_path:635,slot_mba_stateful:200,slot_u16_0:51,slot_u16_1_sub_const:33,slot_const_or_affine:10	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_025.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_025.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_025.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
026	54	0x1a480d..0x1a5f08	1496	13	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			026:12,027:1	026:12	0	vmop_337_plus0x4_state_add_const_slot_multi_path:63,vmop_028_plus0x3_state_add_const_slot_u16_0:62,vmop_064_plus0x4_state_add_const_slot_multi_path:53,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:53,vmop_018_plus0x3_state_add_const_slot_multi_path:51,vmop_258_plus0x4_state_add_const_slot_multi_path:51,vmop_114_plus0x4_state_add_const_slot_multi_path:47,vmop_340_plus0x4_state_add_const_slot_multi_path:46,vmop_297_plus0x3_state_add_const_slot_multi_path:46,vmop_189_plus0x4_state_add_const_slot_mba_stateful:46	state_add_const:1384,state_mixed:76,state_const_post:19,state_formula:9,state_simple:3,state_preserve:2,state_affine:2,sampled_backedge:1	slot_multi_path:958,slot_mba_stateful:359,slot_u16_0:105,slot_u16_1_sub_const:53,slot_const_or_affine:14,slot_unknown:5,slot_u16_2:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_026.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_026.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_026.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
027	55	0x1a5f3d..0x1a6041	70	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			external_or_exit:1	026:1	1	vmop_174_plus0x4_state_add_const_slot_mba_stateful:6,vmop_340_plus0x4_state_add_const_slot_multi_path:5,vmop_258_plus0x4_state_add_const_slot_multi_path:4,vmop_028_plus0x3_state_add_const_slot_u16_0:4,vmop_347_plus0x4_state_add_const_slot_multi_path:4,vmop_199_plus0x3_state_add_const_slot_multi_path:4,vmop_176_plus0x4_state_add_const_slot_multi_path:4,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:3,vmop_215_plus0x3_state_mixed_slot_u16_0:3,vmop_198_plus0x2_state_add_const_slot_mba_stateful:2	state_add_const:64,state_mixed:4,state_const_post:2	slot_multi_path:38,slot_mba_stateful:21,slot_u16_0:7,slot_u16_1_sub_const:3,slot_const_or_affine:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_027.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_027.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_027.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
028	52	0x1ec0ab..0x1ed483	1317	9	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			028:8,external_or_exit:1	028:8	1	vmop_258_plus0x4_state_add_const_slot_multi_path:56,vmop_340_plus0x4_state_add_const_slot_multi_path:54,vmop_066_plus0x3_state_add_const_slot_multi_path:53,vmop_347_plus0x4_state_add_const_slot_multi_path:51,vmop_018_plus0x3_state_add_const_slot_multi_path:46,vmop_028_plus0x3_state_add_const_slot_u16_0:43,vmop_114_plus0x4_state_add_const_slot_multi_path:43,vmop_064_plus0x4_state_add_const_slot_multi_path:42,vmop_185_plus0x3_state_add_const_slot_multi_path:41,vmop_189_plus0x4_state_add_const_slot_mba_stateful:37	state_add_const:1226,state_mixed:70,state_const_post:13,state_preserve:6,state_affine:1,state_formula:1	slot_multi_path:920,slot_mba_stateful:271,slot_u16_0:78,slot_u16_1_sub_const:36,slot_const_or_affine:11,slot_u16_2:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_028.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_028.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_028.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
