section	item	value	note
artifact	native_executable_coverage_audit_md_path	dumps/vmtail-wide-1m-w16/vm_native_executable_coverage_audit.md	Generated reconstruction artifact.
artifact	native_executable_coverage_audit_md_lines	63	Current line count.
artifact	native_executable_coverage_audit_md_bytes	2521	Current file size in bytes.
artifact	native_function_inventory_c_path	dumps/vmtail-wide-1m-w16/vm_native_function_inventory.c	Generated reconstruction artifact.
artifact	native_function_inventory_c_lines	9969	Current line count.
artifact	native_function_inventory_c_bytes	1177248	Current file size in bytes.
artifact	native_function_inventory_tsv_path	dumps/vmtail-wide-1m-w16/vm_native_function_inventory.tsv	Generated reconstruction artifact.
artifact	native_function_inventory_tsv_lines	3310	Current line count.
artifact	native_function_inventory_tsv_bytes	617294	Current file size in bytes.
artifact	native_function_inventory_md_path	dumps/vmtail-wide-1m-w16/vm_native_function_inventory.md	Generated reconstruction artifact.
artifact	native_function_inventory_md_lines	52	Current line count.
artifact	native_function_inventory_md_bytes	3767	Current file size in bytes.
artifact	native_retdec_gap_queue_c_path	dumps/vmtail-wide-1m-w16/vm_native_retdec_gap_queue.c	Generated reconstruction artifact.
artifact	native_retdec_gap_queue_c_lines	2241	Current line count.
artifact	native_retdec_gap_queue_c_bytes	438060	Current file size in bytes.
artifact	native_retdec_gap_queue_tsv_path	dumps/vmtail-wide-1m-w16/vm_native_retdec_gap_queue.tsv	Generated reconstruction artifact.
artifact	native_retdec_gap_queue_tsv_lines	2209	Current line count.
artifact	native_retdec_gap_queue_tsv_bytes	333448	Current file size in bytes.
artifact	native_retdec_gap_queue_md_path	dumps/vmtail-wide-1m-w16/vm_native_retdec_gap_queue.md	Generated reconstruction artifact.
artifact	native_retdec_gap_queue_md_lines	89	Current line count.
artifact	native_retdec_gap_queue_md_bytes	10460	Current file size in bytes.
artifact	native_gap_retdec_batch00_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch00.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch00_lines	1803	Current line count.
artifact	native_gap_retdec_batch00_bytes	59568	Current file size in bytes.
artifact	native_gap_retdec_batch01_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch01.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch01_lines	2092	Current line count.
artifact	native_gap_retdec_batch01_bytes	69105	Current file size in bytes.
artifact	native_gap_retdec_batch02_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch02.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch02_lines	1506	Current line count.
artifact	native_gap_retdec_batch02_bytes	52361	Current file size in bytes.
artifact	native_gap_retdec_batch03_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch03.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch03_lines	1512	Current line count.
artifact	native_gap_retdec_batch03_bytes	48278	Current file size in bytes.
artifact	native_gap_retdec_batch04_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch04.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch04_lines	1848	Current line count.
artifact	native_gap_retdec_batch04_bytes	58785	Current file size in bytes.
artifact	native_gap_retdec_batch05_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch05.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch05_lines	1618	Current line count.
artifact	native_gap_retdec_batch05_bytes	53962	Current file size in bytes.
artifact	native_gap_retdec_batch06_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch06.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch06_lines	1845	Current line count.
artifact	native_gap_retdec_batch06_bytes	55332	Current file size in bytes.
artifact	native_gap_retdec_batch07_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch07.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch07_lines	1656	Current line count.
artifact	native_gap_retdec_batch07_bytes	52470	Current file size in bytes.
artifact	native_gap_retdec_batch08_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch08.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch08_lines	1467	Current line count.
artifact	native_gap_retdec_batch08_bytes	48049	Current file size in bytes.
artifact	native_gap_retdec_batch09_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch09.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch09_lines	1799	Current line count.
artifact	native_gap_retdec_batch09_bytes	58511	Current file size in bytes.
artifact	native_gap_retdec_batch10_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch10.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch10_lines	1406	Current line count.
artifact	native_gap_retdec_batch10_bytes	45334	Current file size in bytes.
artifact	native_gap_retdec_batch11_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch11.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch11_lines	1194	Current line count.
artifact	native_gap_retdec_batch11_bytes	39917	Current file size in bytes.
artifact	native_gap_retdec_batch12_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch12.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch12_lines	1391	Current line count.
artifact	native_gap_retdec_batch12_bytes	46011	Current file size in bytes.
artifact	native_gap_retdec_batch13_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch13.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch13_lines	1491	Current line count.
artifact	native_gap_retdec_batch13_bytes	47194	Current file size in bytes.
artifact	native_gap_retdec_batch14_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch14.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch14_lines	1325	Current line count.
artifact	native_gap_retdec_batch14_bytes	42255	Current file size in bytes.
artifact	native_gap_retdec_batch15_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch15.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch15_lines	1187	Current line count.
artifact	native_gap_retdec_batch15_bytes	37672	Current file size in bytes.
artifact	native_gap_retdec_batch16_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch16.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch16_lines	1227	Current line count.
artifact	native_gap_retdec_batch16_bytes	41016	Current file size in bytes.
artifact	native_gap_retdec_batch17_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch17.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch17_lines	1195	Current line count.
artifact	native_gap_retdec_batch17_bytes	36969	Current file size in bytes.
artifact	native_gap_retdec_batch18_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch18.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch18_lines	1274	Current line count.
artifact	native_gap_retdec_batch18_bytes	41248	Current file size in bytes.
artifact	native_gap_retdec_batch19_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch19.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch19_lines	1183	Current line count.
artifact	native_gap_retdec_batch19_bytes	37984	Current file size in bytes.
artifact	native_gap_retdec_batch20_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch20.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch20_lines	1202	Current line count.
artifact	native_gap_retdec_batch20_bytes	39887	Current file size in bytes.
artifact	native_gap_retdec_batch21_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch21.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch21_lines	1398	Current line count.
artifact	native_gap_retdec_batch21_bytes	42256	Current file size in bytes.
artifact	native_gap_retdec_batch22_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch22.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch22_lines	1131	Current line count.
artifact	native_gap_retdec_batch22_bytes	36051	Current file size in bytes.
artifact	native_gap_retdec_batch23_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch23.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch23_lines	1055	Current line count.
artifact	native_gap_retdec_batch23_bytes	32371	Current file size in bytes.
artifact	native_gap_retdec_batch24_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch24.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch24_lines	1095	Current line count.
artifact	native_gap_retdec_batch24_bytes	34288	Current file size in bytes.
artifact	native_gap_retdec_batch25_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch25.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch25_lines	1057	Current line count.
artifact	native_gap_retdec_batch25_bytes	32926	Current file size in bytes.
artifact	native_gap_retdec_batch26_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch26.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch26_lines	947	Current line count.
artifact	native_gap_retdec_batch26_bytes	30525	Current file size in bytes.
artifact	native_gap_retdec_batch27_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch27.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch27_lines	1020	Current line count.
artifact	native_gap_retdec_batch27_bytes	31834	Current file size in bytes.
artifact	native_gap_retdec_batch28_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch28.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch28_lines	968	Current line count.
artifact	native_gap_retdec_batch28_bytes	29717	Current file size in bytes.
artifact	native_gap_retdec_batch29_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch29.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch29_lines	1307	Current line count.
artifact	native_gap_retdec_batch29_bytes	41181	Current file size in bytes.
artifact	native_gap_retdec_batch30_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch30.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch30_lines	1016	Current line count.
artifact	native_gap_retdec_batch30_bytes	32605	Current file size in bytes.
artifact	native_gap_retdec_batch31_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch31.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch31_lines	991	Current line count.
artifact	native_gap_retdec_batch31_bytes	30823	Current file size in bytes.
artifact	native_gap_retdec_batch32_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch32.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch32_lines	791	Current line count.
artifact	native_gap_retdec_batch32_bytes	26300	Current file size in bytes.
artifact	native_gap_retdec_batch33_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch33.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch33_lines	943	Current line count.
artifact	native_gap_retdec_batch33_bytes	31298	Current file size in bytes.
artifact	native_gap_retdec_batch34_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch34.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch34_lines	871	Current line count.
artifact	native_gap_retdec_batch34_bytes	27250	Current file size in bytes.
artifact	native_gap_retdec_batch35_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch35.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch35_lines	1051	Current line count.
artifact	native_gap_retdec_batch35_bytes	33786	Current file size in bytes.
artifact	native_gap_retdec_batch36_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch36.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch36_lines	919	Current line count.
artifact	native_gap_retdec_batch36_bytes	30390	Current file size in bytes.
artifact	native_gap_retdec_batch37_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch37.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch37_lines	853	Current line count.
artifact	native_gap_retdec_batch37_bytes	32465	Current file size in bytes.
artifact	native_gap_retdec_batch38_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch38.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch38_lines	867	Current line count.
artifact	native_gap_retdec_batch38_bytes	27413	Current file size in bytes.
artifact	native_gap_retdec_batch39_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch39.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch39_lines	787	Current line count.
artifact	native_gap_retdec_batch39_bytes	26560	Current file size in bytes.
artifact	native_gap_retdec_batch40_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch40.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch40_lines	911	Current line count.
artifact	native_gap_retdec_batch40_bytes	28341	Current file size in bytes.
artifact	native_gap_retdec_batch41_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch41.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch41_lines	864	Current line count.
artifact	native_gap_retdec_batch41_bytes	28100	Current file size in bytes.
artifact	native_gap_retdec_batch42_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch42.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch42_lines	764	Current line count.
artifact	native_gap_retdec_batch42_bytes	25362	Current file size in bytes.
artifact	native_gap_retdec_batch43_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch43.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch43_lines	851	Current line count.
artifact	native_gap_retdec_batch43_bytes	27314	Current file size in bytes.
artifact	native_gap_retdec_batch44_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch44.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch44_lines	797	Current line count.
artifact	native_gap_retdec_batch44_bytes	27150	Current file size in bytes.
artifact	native_gap_retdec_batch45_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch45.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch45_lines	765	Current line count.
artifact	native_gap_retdec_batch45_bytes	26088	Current file size in bytes.
artifact	native_gap_retdec_batch46_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch46.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch46_lines	729	Current line count.
artifact	native_gap_retdec_batch46_bytes	26210	Current file size in bytes.
artifact	native_gap_retdec_batch47_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch47.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch47_lines	656	Current line count.
artifact	native_gap_retdec_batch47_bytes	23484	Current file size in bytes.
artifact	native_gap_retdec_batch48_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch48.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch48_lines	676	Current line count.
artifact	native_gap_retdec_batch48_bytes	24777	Current file size in bytes.
artifact	native_gap_retdec_batch49_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch49.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch49_lines	719	Current line count.
artifact	native_gap_retdec_batch49_bytes	24250	Current file size in bytes.
artifact	native_gap_retdec_batch50_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch50.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch50_lines	767	Current line count.
artifact	native_gap_retdec_batch50_bytes	26644	Current file size in bytes.
artifact	native_gap_retdec_batch51_path	dumps/vmtail-wide-1m-w16/vm_native_gap_retdec_batch51.c	Generated reconstruction artifact.
artifact	native_gap_retdec_batch51_lines	763	Current line count.
artifact	native_gap_retdec_batch51_bytes	27044	Current file size in bytes.
artifact	direct_blocks_top_path	dumps/vmtail-wide-1m-w16/vm_pseudocode_top.c	Generated reconstruction artifact.
artifact	direct_blocks_top_lines	12619	Current line count.
artifact	direct_blocks_top_bytes	1429721	Current file size in bytes.
artifact	program_blocks_top_path	dumps/vmtail-wide-1m-w16/vm_program_pseudocode_top.c	Generated reconstruction artifact.
artifact	program_blocks_top_lines	26399	Current line count.
artifact	program_blocks_top_bytes	1760774	Current file size in bytes.
artifact	program_blocks_full_path	dumps/vmtail-wide-1m-w16/vm_program_pseudocode_full.c	Generated reconstruction artifact.
artifact	program_blocks_full_lines	296873	Current line count.
artifact	program_blocks_full_bytes	19990155	Current file size in bytes.
artifact	source_bundle_path	dumps/vmtail-wide-1m-w16/vm_recovered_source_bundle.c	Generated reconstruction artifact.
artifact	source_bundle_lines	304448	Current line count.
artifact	source_bundle_bytes	20567203	Current file size in bytes.
artifact	source_all_evidence_bundle_path	dumps/vmtail-wide-1m-w16/vm_recovered_source_all_evidence_bundle.c	Generated reconstruction artifact.
artifact	source_all_evidence_bundle_lines	507890	Current line count.
artifact	source_all_evidence_bundle_bytes	35103923	Current file size in bytes.
artifact	synthetic_successor_gaps_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_successor_gaps.tsv	Generated reconstruction artifact.
artifact	synthetic_successor_gaps_tsv_lines	22	Current line count.
artifact	synthetic_successor_gaps_tsv_bytes	5197	Current file size in bytes.
artifact	synthetic_successor_gaps_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_successor_gaps.md	Generated reconstruction artifact.
artifact	synthetic_successor_gaps_md_lines	31	Current line count.
artifact	synthetic_successor_gaps_md_bytes	4126	Current file size in bytes.
artifact	synthetic_gap_transfer_probe_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_transfer_probe.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_transfer_probe_tsv_lines	22	Current line count.
artifact	synthetic_gap_transfer_probe_tsv_bytes	19883	Current file size in bytes.
artifact	synthetic_gap_transfer_probe_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_transfer_probe.md	Generated reconstruction artifact.
artifact	synthetic_gap_transfer_probe_md_lines	32	Current line count.
artifact	synthetic_gap_transfer_probe_md_bytes	15439	Current file size in bytes.
artifact	synthetic_gap_dynamic_stitch_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_dynamic_stitch.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_dynamic_stitch_tsv_lines	23	Current line count.
artifact	synthetic_gap_dynamic_stitch_tsv_bytes	5785	Current file size in bytes.
artifact	synthetic_gap_dynamic_stitch_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_dynamic_stitch.md	Generated reconstruction artifact.
artifact	synthetic_gap_dynamic_stitch_md_lines	33	Current line count.
artifact	synthetic_gap_dynamic_stitch_md_bytes	3792	Current file size in bytes.
artifact	synthetic_gap_chain_probe_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_chain_probe.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_chain_probe_tsv_lines	23	Current line count.
artifact	synthetic_gap_chain_probe_tsv_bytes	8753	Current file size in bytes.
artifact	synthetic_gap_chain_probe_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_chain_probe.md	Generated reconstruction artifact.
artifact	synthetic_gap_chain_probe_md_lines	32	Current line count.
artifact	synthetic_gap_chain_probe_md_bytes	3309	Current file size in bytes.
artifact	synthetic_gap_residual_audit_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_residual_audit.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_residual_audit_tsv_lines	21	Current line count.
artifact	synthetic_gap_residual_audit_tsv_bytes	17922	Current file size in bytes.
artifact	synthetic_gap_residual_audit_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_residual_audit.md	Generated reconstruction artifact.
artifact	synthetic_gap_residual_audit_md_lines	75	Current line count.
artifact	synthetic_gap_residual_audit_md_bytes	8608	Current file size in bytes.
artifact	synthetic_gap_concrete_state_audit_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_concrete_state_audit.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_concrete_state_audit_tsv_lines	21	Current line count.
artifact	synthetic_gap_concrete_state_audit_tsv_bytes	6025	Current file size in bytes.
artifact	synthetic_gap_concrete_state_audit_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_concrete_state_audit.md	Generated reconstruction artifact.
artifact	synthetic_gap_concrete_state_audit_md_lines	51	Current line count.
artifact	synthetic_gap_concrete_state_audit_md_bytes	3305	Current file size in bytes.
artifact	synthetic_gap_state_trace_targets_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_state_trace_targets.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_state_trace_targets_tsv_lines	10	Current line count.
artifact	synthetic_gap_state_trace_targets_tsv_bytes	11458	Current file size in bytes.
artifact	synthetic_gap_state_trace_targets_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_state_trace_targets.md	Generated reconstruction artifact.
artifact	synthetic_gap_state_trace_targets_md_lines	25	Current line count.
artifact	synthetic_gap_state_trace_targets_md_bytes	2847	Current file size in bytes.
artifact	synthetic_gap_live_context_audit_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_live_context_audit.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_live_context_audit_tsv_lines	21	Current line count.
artifact	synthetic_gap_live_context_audit_tsv_bytes	7531	Current file size in bytes.
artifact	synthetic_gap_live_context_audit_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_live_context_audit.md	Generated reconstruction artifact.
artifact	synthetic_gap_live_context_audit_md_lines	50	Current line count.
artifact	synthetic_gap_live_context_audit_md_bytes	3201	Current file size in bytes.
artifact	synthetic_gap_table_read_diagnostic_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_table_read_diagnostic.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_table_read_diagnostic_tsv_lines	21	Current line count.
artifact	synthetic_gap_table_read_diagnostic_tsv_bytes	6685	Current file size in bytes.
artifact	synthetic_gap_table_read_diagnostic_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_table_read_diagnostic.md	Generated reconstruction artifact.
artifact	synthetic_gap_table_read_diagnostic_md_lines	37	Current line count.
artifact	synthetic_gap_table_read_diagnostic_md_bytes	2796	Current file size in bytes.
artifact	synthetic_gap_table_memory_probe_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_table_memory_probe.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_table_memory_probe_tsv_lines	21	Current line count.
artifact	synthetic_gap_table_memory_probe_tsv_bytes	4650	Current file size in bytes.
artifact	synthetic_gap_table_memory_probe_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_table_memory_probe.md	Generated reconstruction artifact.
artifact	synthetic_gap_table_memory_probe_md_lines	44	Current line count.
artifact	synthetic_gap_table_memory_probe_md_bytes	3592	Current file size in bytes.
artifact	synthetic_gap_runtime_table_memory_probe_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_runtime_table_memory_probe.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_runtime_table_memory_probe_tsv_lines	21	Current line count.
artifact	synthetic_gap_runtime_table_memory_probe_tsv_bytes	7122	Current file size in bytes.
artifact	synthetic_gap_runtime_table_memory_probe_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_runtime_table_memory_probe.md	Generated reconstruction artifact.
artifact	synthetic_gap_runtime_table_memory_probe_md_lines	73	Current line count.
artifact	synthetic_gap_runtime_table_memory_probe_md_bytes	4949	Current file size in bytes.
artifact	synthetic_gap_sampled_control_correlation_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_sampled_control_correlation.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_sampled_control_correlation_tsv_lines	21	Current line count.
artifact	synthetic_gap_sampled_control_correlation_tsv_bytes	6373	Current file size in bytes.
artifact	synthetic_gap_sampled_control_correlation_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_sampled_control_correlation.md	Generated reconstruction artifact.
artifact	synthetic_gap_sampled_control_correlation_md_lines	41	Current line count.
artifact	synthetic_gap_sampled_control_correlation_md_bytes	3706	Current file size in bytes.
artifact	synthetic_gap_focused_direct_trace_audit_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_focused_direct_trace_audit.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_focused_direct_trace_audit_tsv_lines	21	Current line count.
artifact	synthetic_gap_focused_direct_trace_audit_tsv_bytes	6140	Current file size in bytes.
artifact	synthetic_gap_focused_direct_trace_audit_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_focused_direct_trace_audit.md	Generated reconstruction artifact.
artifact	synthetic_gap_focused_direct_trace_audit_md_lines	41	Current line count.
artifact	synthetic_gap_focused_direct_trace_audit_md_bytes	2386	Current file size in bytes.
artifact	synthetic_gap_focused_sequence_audit_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_focused_sequence_audit.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_focused_sequence_audit_tsv_lines	21	Current line count.
artifact	synthetic_gap_focused_sequence_audit_tsv_bytes	9408	Current file size in bytes.
artifact	synthetic_gap_focused_sequence_audit_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_focused_sequence_audit.md	Generated reconstruction artifact.
artifact	synthetic_gap_focused_sequence_audit_md_lines	49	Current line count.
artifact	synthetic_gap_focused_sequence_audit_md_bytes	3618	Current file size in bytes.
artifact	synthetic_gap_observed_chain_bridge_tsv_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_observed_chain_bridge.tsv	Generated reconstruction artifact.
artifact	synthetic_gap_observed_chain_bridge_tsv_lines	21	Current line count.
artifact	synthetic_gap_observed_chain_bridge_tsv_bytes	7646	Current file size in bytes.
artifact	synthetic_gap_observed_chain_bridge_md_path	dumps/vmtail-wide-1m-w16/vm_synthetic_gap_observed_chain_bridge.md	Generated reconstruction artifact.
artifact	synthetic_gap_observed_chain_bridge_md_lines	52	Current line count.
artifact	synthetic_gap_observed_chain_bridge_md_bytes	7143	Current file size in bytes.
